dept,grade,annual_salary,hourly_rate,grade_label
The National Archives,eo,24590,15.04,EO
The National Archives,aoaa,19870,12.15,AO/AA
The National Archives,total,31550,19.29,Unknown
National Crime Agency,scs,96340,58.91,SCS
National Crime Agency,g6g7,59520,36.39,Grade 6/Grade 7
National Crime Agency,seoheo,44250,27.06,SEO/HEO
National Crime Agency,eo,33760,20.64,EO
National Crime Agency,aoaa,23620,14.44,AO/AA
National Crime Agency,total,37190,22.74,Unknown
Northern Ireland Office,scs,79640,48.7,SCS
Northern Ireland Office,g6g7,52850,32.32,Grade 6/Grade 7
Northern Ireland Office,seoheo,34990,21.4,SEO/HEO
Northern Ireland Office,eo,25820,15.79,EO
Northern Ireland Office,aoaa,21660,13.24,AO/AA
Northern Ireland Office,total,40310,24.65,Unknown
"Office for Standards in Education, Children's Services and Skills",scs,95240,58.24,SCS
"Office for Standards in Education, Children's Services and Skills",g6g7,74120,45.32,Grade 6/Grade 7
"Office for Standards in Education, Children's Services and Skills",seoheo,42070,25.72,SEO/HEO
"Office for Standards in Education, Children's Services and Skills",eo,25360,15.51,EO
"Office for Standards in Education, Children's Services and Skills",aoaa,20740,12.68,AO/AA
"Office for Standards in Education, Children's Services and Skills",total,50450,30.85,Unknown
Office of Gas and Electricity Markets,scs,94420,57.74,SCS
Office of Gas and Electricity Markets,g6g7,57770,35.32,Grade 6/Grade 7
Office of Gas and Electricity Markets,seoheo,35330,21.6,SEO/HEO
Office of Gas and Electricity Markets,eo,25600,15.65,EO
Office of Gas and Electricity Markets,aoaa,19750,12.08,AO/AA
Office of Gas and Electricity Markets,total,39930,24.42,Unknown
Office of Rail and Road,scs,96460,58.98,SCS
Office of Rail and Road,g6g7,61200,37.42,Grade 6/Grade 7
Office of Rail and Road,seoheo,41830,25.58,SEO/HEO
Office of Rail and Road,eo,29280,17.9,EO
Office of Rail and Road,aoaa,22800,13.94,AO/AA
Office of Rail and Road,total,53820,32.91,Unknown
Ofqual,scs,86160,52.68,SCS
Ofqual,g6g7,48100,29.41,Grade 6/Grade 7
Ofqual,seoheo,35000,21.4,SEO/HEO
Ofqual,eo,23540,14.39,EO
Ofqual,aoaa,20230,12.37,AO/AA
Ofqual,total,41210,25.2,Unknown
Scotland Office (incl. Office of the Advocate General for Scotland),scs,80810,49.41,SCS
Scotland Office (incl. Office of the Advocate General for Scotland),g6g7,59230,36.22,Grade 6/Grade 7
Scotland Office (incl. Office of the Advocate General for Scotland),seoheo,36800,22.5,SEO/HEO
Scotland Office (incl. Office of the Advocate General for Scotland),eo,26410,16.15,EO
Scotland Office (incl. Office of the Advocate General for Scotland),aoaa,19980,12.22,AO/AA
Scotland Office (incl. Office of the Advocate General for Scotland),total,47500,29.04,Unknown
Scottish Government (excl. agencies),scs,80810,49.41,SCS
Scottish Government (excl. agencies),g6g7,59230,36.22,Grade 6/Grade 7
Scottish Government (excl. agencies),seoheo,37420,22.88,SEO/HEO
